+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Wed Jun 10 22:11:26 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go_v2 in MAL1)                             |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 268| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    152.66|  0.04|
| 269| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    163.99|  0.04|
| 270| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.60|  0.04|
| 271| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    166.45|  0.04|
| 272| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.63|  0.04|
| 273| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.54|  0.04|
| 274| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.03|  0.04|
| 275| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    166.94|  0.04|
| 276| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.55|  0.04|
| 277| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    170.39|  0.04|
| 278| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    162.51|  0.04|
| 279| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.32|  0.04|
| 280| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    157.83|  0.04|
| 281| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.06|  0.04|
| 282| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    167.93|  0.04|
| 283| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    163.00|  0.04|
| 284| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.08|  0.04|
| 285| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    164.48|  0.04|
| 286| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    164.97|  0.04|
