+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Thu Apr 16 19:16:46 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go in MAL1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 246| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.61|  0.04|
| 247| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    162.75|  0.04|
| 248| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.35|  0.04|
| 249| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.67|  0.04|
| 250| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.15|  0.04|
| 251| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.05|  0.04|
| 252| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.86|  0.04|
| 253| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    157.34|  0.04|
| 254| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.80|  0.04|
| 255| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.98|  0.04|
| 256| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.82|  0.04|
| 257| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.82|  0.04|
| 258| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    163.49|  0.04|
| 259| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.92|  0.04|
| 260| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.08|  0.04|
| 261| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.52|  0.04|
| 262| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.80|  0.04|
| 263| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.32|  0.04|
| 264| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.77|  0.04|
| 265| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.44|  0.04|
| 266| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.54|  0.04|
| 267| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.28|  0.04|
| 268| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    167.43|  0.04|
| 269| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    165.96|  0.04|
| 270| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.52|  0.04|
| 271| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    174.08|  0.04|
| 272| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    167.19|  0.04|
| 273| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    164.23|  0.04|
| 274| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    167.43|  0.04|
| 275| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    171.37|  0.04|
| 276| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    168.66|  0.04|
| 277| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    176.79|  0.04|
| 278| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    174.57|  0.04|
| 279| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    165.96|  0.04|
| 280| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    166.45|  0.04|
| 281| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    166.69|  0.04|
| 282| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    173.34|  0.04|
| 283| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    176.79|  0.04|
| 284| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.05|  0.04|
| 285| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    174.33|  0.04|
| 286| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    168.17|  0.04|
| 287| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    175.07|  0.04|
