+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:17 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__gotravtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 262| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1391|  0.05|
| 263| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1355|  0.05|
| 264| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1365|  0.05|
| 265| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1363|  0.05|
| 266| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1377|  0.05|
| 267| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1369|  0.05|
| 268| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1341|  0.04|
| 269| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1380|  0.05|
| 270| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1336|  0.04|
| 271| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1356|  0.05|
| 272| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1352|  0.04|
| 273| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1331|  0.04|
| 274| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1328|  0.04|
| 275| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1302|  0.04|
| 276| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1347|  0.04|
| 277| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1307|  0.04|
| 278| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1328|  0.04|
| 279| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1309|  0.04|
| 280| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1278|  0.04|
| 281| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1331|  0.04|
