+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Wed Jun 10 22:06:35 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_v2_analysis in KEN2)                    |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|  236| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  237| . . . . . . . . . . . . . . . . . . . . . . . . . . |       766|  0.05|
|  238| . . . . . . . . . . . . . . . . . . . . . . . . . . |       770|  0.05|
|  239| . . . . . . . . . . . . . . . . . . . . . . . . . . |       768|  0.05|
|  240| . . . . . . . . . . . . . . . . . . . . . . . . . . |       781|  0.05|
|  241| . . . . . . . . . . . . . . . . . . . . . . . . . . |       767|  0.05|
|  242| . . . . . . . . . . . . . . . . . . . . . . . . . . |       777|  0.05|
|  243| . . . . . . . . . . . . . . . . . . . . . . . . . . |       779|  0.05|
|  244| . . . . . . . . . . . . . . . . . . . . . . . . . . |       763|  0.05|
|  245| . . . . . . . . . . . . . . . . . . . . . . . . . . |       785|  0.05|
|  246| . . . . . . . . . . . . . . . . . . . . . . . . . . |       779|  0.05|
|  247| . . . . . . . . . . . . . . . . . . . . . . . . . . |       768|  0.05|
|  248| . . . . . . . . . . . . . . . . . . . . . . . . . . |       785|  0.05|
|  249| . . . . . . . . . . . . . . . . . . . . . . . . . . |       777|  0.05|
|  250| . . . . . . . . . . . . . . . . . . . . . . . . . . |       787|  0.05|
|  251| . . . . . . . . . . . . . . . . . . . . . . . . . . |       759|  0.05|
|  252| . . . . . . . . . . . . . . . . . . . . . . . . . . |       781|  0.05|
|  253| . . . . . . . . . . . . . . . . . . . . . . . . . . |       792|  0.05|
