+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Thu Apr 16 19:10:51 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_merge in UPDATE_T4)                      |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 275| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1145|  0.07|
| 276| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1149|  0.07|
| 277| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1100|  0.07|
| 278| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1119|  0.07|
| 279| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1145|  0.07|
| 280| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1135|  0.07|
| 281| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1128|  0.07|
| 282| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1120|  0.07|
| 283| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1089|  0.07|
| 284| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1141|  0.07|
| 285| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1138|  0.07|
| 286| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1117|  0.07|
| 287| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1133|  0.07|
| 288| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1120|  0.07|
| 289| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1158|  0.08|
| 290| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1103|  0.07|
| 291| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1126|  0.07|
