+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Wed Jun 10 22:29:57 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_v2 in UPDATE_T4)                         |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 183| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1426|  0.09|
| 184| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1407|  0.09|
| 185| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1437|  0.09|
| 186| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1522|  0.10|
| 187| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1457|  0.09|
| 188| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1510|  0.10|
| 189| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1495|  0.10|
| 190| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1500|  0.10|
| 191| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1481|  0.10|
| 192| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1461|  0.09|
| 193| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1499|  0.10|
| 194| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1530|  0.10|
| 195| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1495|  0.10|
| 196| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1526|  0.10|
| 197| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1469|  0.10|
| 198| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1538|  0.10|
| 199| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1583|  0.10|
| 200| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1591|  0.10|
| 201| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1488|  0.10|
| 202| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1589|  0.10|
| 203| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1579|  0.10|
| 204| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1528|  0.10|
| 205| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1557|  0.10|
| 206| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1503|  0.10|
| 207| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1549|  0.10|
| 208| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1542|  0.10|
| 209| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1495|  0.10|
| 210| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1448|  0.09|
| 211| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1473|  0.10|
