+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:22 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t1travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 227| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       854|  0.03|
| 228| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       873|  0.03|
| 229| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       872|  0.03|
| 230| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       851|  0.03|
| 231| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       845|  0.03|
| 232| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       844|  0.03|
| 233| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       823|  0.03|
| 234| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       820|  0.03|
| 235| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       846|  0.03|
| 236| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       829|  0.03|
| 237| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       826|  0.03|
| 238| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       799|  0.03|
| 239| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       805|  0.03|
| 240| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       784|  0.03|
| 241| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       792|  0.03|
| 242| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       780|  0.03|
| 243| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       787|  0.03|
| 244| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       782|  0.03|
| 245| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       759|  0.03|
| 246| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       772|  0.03|
| 247| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       751|  0.02|
| 248| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       742|  0.02|
| 249| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       755|  0.03|
| 250| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       727|  0.02|
| 251| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       738|  0.02|
| 252| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       711|  0.02|
